Company Name,Funding Stage,Amount,Year Funded,Investor,Industry,Location
Bella Vita Organic,Undisclosed,2000000,2021,Ananta Capital,Healthcare and Wellness,Gurugram
SmartCoin,Undisclosed,2000000,2021,Northern Arc,Finance and FinTech,Bangalore
CareerNinja,Seed Round,955981,2021,Unitus Ventures,Education,Mumbai
MYSUN,Undisclosed,2000000,2021,TATA Cleantech Capital,Energy and Environment,New Delhi
Sea6 Energy,Series B,2500000,2021,Aqua-Spark,Healthcare and Wellness,Bangalore
Beco,Seed Round,955981,2021,Climate Angels Fund,E-Commerce and Retail,Mumbai
OneCode,Undisclosed,2000000,2021,Sequoia’s Surge,Technology,Bangalore
MedPay,Seed Round,955981,2021,Entrepreneur First (EF),Technology,Bangalore
Inshorts,Undisclosed,2000000,2021,Vy Capital,Technology,Noida
Digantara,Seed Round,955981,2021,Kalaari Capital,Technology,Bangalore
Aqgromalin,Seed Round,955981,2021,Zephyr Peacock,Agriculture and Food,Chennai
Square Yards,Undisclosed,2000000,2021,ADM Capital,Real Estate and Construction,Gurugram
OYO,Undisclosed,2000000,2021,SoftBank Vision Fund,Technology,Gurugram
Slang Labs,Undisclosed,2000000,2021,100x Entrepreneurs,Technology,Bangalore
NirogGyan,Seed Round,955981,2021,Healthcare veterans,Healthcare and Wellness,Gurugram
Ola Electric,Debt Financing,2500000,2021,Bank of Baroda,Transportation and Mobility,Bangalore
Bikry app,Undisclosed,2000000,2021,YCombinator,E-Commerce and Retail,Noida
Oliveboard,Undisclosed,2000000,2021,IAN Fund,Education,Bangalore
Little Leap,Angel,885000,2021,Vishal Gupta,Education,New Delhi
Trell,Series B,2500000,2021,Mirae Asset,E-Commerce and Retail,Bangalore
Kredent,Undisclosed,2000000,2021,Kotak Securities,Education,Kolkata
EasyAspataal,Seed Round,955981,2021,Venture Catalysts,Healthcare and Wellness,Mumbai
SMOOR,Undisclosed,2000000,2021,Klub,Agriculture and Food,Bangalore
Pankhuri,Undisclosed,2000000,2021,Sequoia’s Surge,Technology,Bangalore
Arcana,Seed Round,955981,2021,Balaji Srinivasan,Technology,Bangalore
AdmitKard,Pre-Series A,8556808,2021,Unknown,Education,Noida
UrbanKisaan,Undisclosed,2000000,2021,BASF Venture Capital GmbH,Agriculture and Food,Hyderabad
Aquaconnect,Pre-Series A,10325380,2021,Rebright Partners,Agriculture and Food,Chennai
Vah Vah!,Undisclosed,2000000,2021,Sequoia Surge,Education,Bangalore
LetsDressUp,Pre-Series A,3868879,2021,Titan Capital,Consumer Goods,Gurugram
Sapio Analytics,Undisclosed,2000000,2021,Parthiv Group,Technology,Mumbai
BHyve,Angel,885000,2021,Omkar Pandharkame,Professional Services,Mumbai
Indi Energy,Seed Round,955981,2021,Mumbai Angels Network,Energy and Environment,Roorkee
The Ayurveda Co,Undisclosed,2000000,2021,GetVantage,E-Commerce and Retail,Gurugram
Pratilipi,Undisclosed,2000000,2021,Krafton Inc,Media and Entertainment,Bangalore
Ati Motors,Pre-Series A,14747749,2021,Blume Ventures,Transportation and Mobility,Bangalore
peAR,Pre-Series A,6671339,2021,Inflection Point Ventures,Technology,Mumbai
Gourmet Garden,Undisclosed,2000000,2021,Beyond Next Ventures,Agriculture and Food,Bangalore
The Sleep Company,Pre-Series A,11262932,2021,Fireside Ventures,E-Commerce and Retail,Mumbai
TyrePlex,Seed Round,955981,2021,AdvantEdge Founders,E-Commerce and Retail,New Delhi
ION Energy,Pre-Series A,14747749,2021,Unknown,Transportation and Mobility,Mumbai
Digit Insurance,Undisclosed,2000000,2021,Faering Capital,Technology,Bangalore
FRAAZO,Series A,5032439,2021,Sixth Sense Ventures,Agriculture and Food,Mumbai
Licious,Series F,10325380,2021,Temasek,Agriculture and Food,Bangalore
